date,symbol,marketcapname,sector
06-02-2026 1:30 pm,CIPLA,Largecap,Healthcare
06-02-2026 2:00 pm,TORNTPOWER,Largecap,Power & Utilities
06-02-2026 2:15 pm,TRENT,Largecap,Consumer Discretionary
06-02-2026 2:15 pm,TATASTEEL,Largecap,Metals & Mining
06-02-2026 2:30 pm,SAIL,Largecap,Metals & Mining
06-02-2026 2:45 pm,ONGC,Largecap,Energy
06-02-2026 3:00 pm,LICHSGFIN,Largecap,Financials
09-02-2026 9:15 am,KOTAKBANK,Largecap,Bank
09-02-2026 9:15 am,LICHSGFIN,Largecap,Financials
09-02-2026 9:15 am,SWIGGY,Largecap,I.T
09-02-2026 9:15 am,JUBLFOOD,Largecap,Consumer Discretionary
09-02-2026 9:15 am,AMBER,Largecap,Consumer Discretionary
09-02-2026 9:30 am,CROMPTON,Midcap,Consumer Discretionary
09-02-2026 9:45 am,TRENT,Largecap,Consumer Discretionary
09-02-2026 10:15 am,UNITDSPR,Largecap,FMCG
09-02-2026 10:30 am,HINDUNILVR,Largecap,FMCG
09-02-2026 10:30 am,HAVELLS,Largecap,Consumer Discretionary
09-02-2026 10:45 am,JSWENERGY,Largecap,Power & Utilities
09-02-2026 10:45 am,ICICIGI,Largecap,Financials
09-02-2026 11:15 am,SAIL,Largecap,Metals & Mining
09-02-2026 12:00 pm,PATANJALI,Largecap,FMCG
09-02-2026 12:00 pm,AXISBANK,Largecap,Bank
09-02-2026 12:15 pm,PIDILITIND,Largecap,Chemicals
09-02-2026 12:30 pm,BAJFINANCE,Largecap,Financials
09-02-2026 12:45 pm,TATACONSUM,Largecap,FMCG
09-02-2026 1:00 pm,BAJAJHLDNG,Largecap,Financials
09-02-2026 1:00 pm,HINDUNILVR,Largecap,FMCG
09-02-2026 1:00 pm,APOLLOHOSP,Largecap,Healthcare
09-02-2026 1:00 pm,PIIND,Largecap,Chemicals
09-02-2026 1:15 pm,LICHSGFIN,Largecap,Financials
09-02-2026 1:15 pm,MFSL,Largecap,Miscellaneous
09-02-2026 1:15 pm,AUBANK,Largecap,Bank
09-02-2026 1:45 pm,CUMMINSIND,Largecap,Industrials
09-02-2026 2:15 pm,CIPLA,Largecap,Healthcare
09-02-2026 2:15 pm,INDUSTOWER,Largecap,Telecom
09-02-2026 2:15 pm,NYKAA,Largecap,I.T
09-02-2026 2:45 pm,DRREDDY,Largecap,Healthcare
09-02-2026 2:45 pm,TATACONSUM,Largecap,FMCG
09-02-2026 3:00 pm,TORNTPOWER,Largecap,Power & Utilities
09-02-2026 3:15 pm,TITAN,Largecap,Consumer Discretionary
09-02-2026 3:15 pm,LICI,Largecap,Financials
09-02-2026 3:15 pm,DIVISLAB,Largecap,Healthcare
09-02-2026 3:15 pm,UNOMINDA,Largecap,Auto
10-02-2026 9:15 am,BLUESTARCO,Largecap,Consumer Discretionary
10-02-2026 9:15 am,EXIDEIND,Largecap,Auto
10-02-2026 9:15 am,GRASIM,Largecap,Textiles
10-02-2026 9:15 am,TATAPOWER,Largecap,Power & Utilities
10-02-2026 9:15 am,M&M,Largecap,Auto
10-02-2026 9:15 am,PPLPHARMA,Largecap,Healthcare
10-02-2026 9:15 am,KFINTECH,Midcap,Financials
10-02-2026 9:15 am,GAIL,Largecap,Energy
10-02-2026 9:15 am,AXISBANK,Largecap,Bank
10-02-2026 9:15 am,MARUTI,Largecap,Auto
10-02-2026 9:15 am,JUBLFOOD,Largecap,Consumer Discretionary
10-02-2026 9:15 am,PGEL,Midcap,Consumer Discretionary
10-02-2026 9:15 am,CROMPTON,Midcap,Consumer Discretionary
10-02-2026 9:15 am,BSE,Largecap,Financials
10-02-2026 9:15 am,HUDCO,Largecap,Financials
10-02-2026 9:15 am,CDSL,Largecap,Financials
10-02-2026 9:15 am,AMBER,Largecap,Consumer Discretionary
10-02-2026 9:15 am,IRCTC,Largecap,Transportation
10-02-2026 9:15 am,ANGELONE,Largecap,Financials
10-02-2026 9:30 am,LT,Largecap,Realty
10-02-2026 9:30 am,INDHOTEL,Largecap,Services
10-02-2026 9:30 am,PHOENIXLTD,Largecap,Realty
10-02-2026 9:30 am,IREDA,Largecap,Financials
10-02-2026 9:30 am,OBEROIRLTY,Largecap,Realty
10-02-2026 9:30 am,APLAPOLLO,Largecap,Industrials
10-02-2026 9:30 am,INOXWIND,Midcap,Industrials
10-02-2026 9:30 am,DMART,Largecap,Consumer Discretionary
10-02-2026 9:30 am,CAMS,Midcap,Financials
10-02-2026 9:45 am,MFSL,Largecap,Miscellaneous
10-02-2026 9:45 am,TATASTEEL,Largecap,Metals & Mining
10-02-2026 9:45 am,ASHOKLEY,Largecap,Auto
10-02-2026 9:45 am,TMPV,Largecap,Auto
10-02-2026 9:45 am,BHARTIARTL,Largecap,Telecom-Service
10-02-2026 9:45 am,BANDHANBNK,Largecap,Bank
10-02-2026 10:00 am,JSWSTEEL,Largecap,Metals & Mining
10-02-2026 10:00 am,HINDUNILVR,Largecap,FMCG
10-02-2026 10:00 am,MARICO,Largecap,FMCG
10-02-2026 10:00 am,JINDALSTEL,Largecap,Metals & Mining
10-02-2026 10:15 am,LICHSGFIN,Largecap,Financials
10-02-2026 10:15 am,HAVELLS,Largecap,Consumer Discretionary
10-02-2026 10:15 am,CROMPTON,Midcap,Consumer Discretionary
10-02-2026 10:30 am,ICICIGI,Largecap,Financials
10-02-2026 10:45 am,KOTAKBANK,Largecap,Bank
10-02-2026 10:45 am,360ONE,Largecap,Financials
10-02-2026 11:00 am,PPLPHARMA,Largecap,Healthcare
10-02-2026 11:00 am,IREDA,Largecap,Financials
10-02-2026 11:00 am,INDIANB,Largecap,Bank
10-02-2026 11:15 am,PETRONET,Largecap,Energy
10-02-2026 11:15 am,PGEL,Midcap,Consumer Discretionary
10-02-2026 11:15 am,CAMS,Midcap,Financials
10-02-2026 11:30 am,NUVAMA,Largecap,Financials
10-02-2026 11:45 am,IREDA,Largecap,Financials
10-02-2026 11:45 am,TVSMOTOR,Largecap,Auto
10-02-2026 12:00 pm,SONACOMS,Largecap,Auto
